,names,reviews,ratings,date
0,Micah Curry,"It's fun, for me it's worth it. It doesn't get nearly as many updates as the IOS version which is super annoying, so there's features that they can do but I just cant. I also had trouble leaving the app just now. I just couldn't get away from it. I had to change my volume, and click more options so my phone would take me to sound settings. Uncommon problem. Lowered to two stars cause of how much they neglect Android. pretty darn annoying. edit again, app basically has cobwebs. android hate smh",Rated 2 stars out of five stars,"March 25, 2023"
1,Saraiah Jeanjacques,"This is a good app to stay connected to friends, but it is definitely biased. I don't have an Iphone, and there is a lot of things that my friends can do that I can't. It's a waste of time to send a message on thus app, but then I have to remind them that I can't see it because yall dont want to give samsung users the same updates. When yall change that, I will be happy to change the rating I gave this app.👍🏽",Rated 2 stars out of five stars,"March 21, 2023"
2,Kyra B. (Lucy Brucy),"So basically it's a great app and stuff but it's obviously meant for iOS products, not Samsung. The only reason I'm giving this app a one-star review is bc it doesn't sync up the features provided with iOS. For instance, you can message/ contact people through the app on iOS but on my phone, it doesn't let me. It'll give me the notification that someone responded but I can't see what they said. So it's getting annoying at this point. Please fix it.",Rated 1 stars out of five stars,"March 15, 2023"
3,Micah Curry,"It's fun, for me it's worth it. It doesn't get nearly as many updates as the IOS version which is super annoying, so there's features that they can do but I just cant. I also had trouble leaving the app just now. I just couldn't get away from it. I had to change my volume, and click more options so my phone would take me to sound settings. Uncommon problem. Lowered to two stars cause of how much they neglect Android. pretty darn annoying. edit again, app basically has cobwebs. android hate smh",Rated 2 stars out of five stars,"March 25, 2023"
4,Saraiah Jeanjacques,"This is a good app to stay connected to friends, but it is definitely biased. I don't have an Iphone, and there is a lot of things that my friends can do that I can't. It's a waste of time to send a message on thus app, but then I have to remind them that I can't see it because yall dont want to give samsung users the same updates. When yall change that, I will be happy to change the rating I gave this app.👍🏽",Rated 2 stars out of five stars,"March 21, 2023"
5,Kyra B. (Lucy Brucy),"So basically it's a great app and stuff but it's obviously meant for iOS products, not Samsung. The only reason I'm giving this app a one-star review is bc it doesn't sync up the features provided with iOS. For instance, you can message/ contact people through the app on iOS but on my phone, it doesn't let me. It'll give me the notification that someone responded but I can't see what they said. So it's getting annoying at this point. Please fix it.",Rated 1 stars out of five stars,"March 15, 2023"
6,Vincent Heinzmann,"Great app in a lot of ways, although it needs to stop catering only to iOS. As someone who switched from an iPhone, I realized Android Locket is missing features such as the entire messaging system they have on there, so instead of my friends sending me an in app message, they have to send me an SMS message instead. Like I said, it's a great app, but until this company stops only updating the iOS version, I have to give it two stars.",Rated 2 stars out of five stars,"March 10, 2023"
7,Kayla Allison,Great idea! But needs improvement. I love being able to see photos of friends without the millions of ads. But we need the same features as ios. Friends will comment on my photos and I can't see them because the messaging feature is unavailable for Android. Fix that and this ap will get 5 stars.,Rated 3 stars out of five stars,"February 21, 2023"
8,Vanaah,"The app is fantastic and an adorable means of communicating with friends. However, it takes an embarrassingly long time to update the Android app. The reply feature in app has been available to ios since early December. Android to iPhone photos look crunchy for no reason. We don't have the rewind feature, separate widgets, or even the ability to zoom in on photos. This app on android is so neglected and poorly optimized as well. I hope this changes soon.",Rated 2 stars out of five stars,"January 11, 2023"
9,Donovan Sheets,"This app has great potential, it's working with a fantastic idea. Unfortunately it's really not there yet as far as technical development. Issue 1: it is very buggy still. Camera being cut off, crashes, etc. Issue 2: very feature light. The android widget is not resizable and very space inefficient. You can't upload photos taken to it. No way to configure the flash options (screen brightness or white flash for selfie). Fix these and it's an easy 5 star.",Rated 3 stars out of five stars,"December 1, 2022"
